model,stories,analyzed,reviewed,uncovered
deepseek/deepseek-v4-flash,40,31,40,0
deepseek/deepseek-v4-pro,53,51,53,0
openai/gpt-5.6-luna,46,36,46,0
openai/gpt-5.6-sol,37,30,37,0
openai/gpt-5.6-terra,40,30,40,0
anthropic/claude-haiku-4-5,61,27,61,0
anthropic/claude-sonnet-5,44,28,44,0
